index,deltaTTCP,scenario,strategy
18,-2.3931523264975914,Scenario10,A
19,-2.414273621019191,Scenario10,A
20,-2.4344608859199726,Scenario10,A
21,-2.4543503403361133,Scenario10,A
22,-2.472937693973173,Scenario10,A
23,-2.4909076606093805,Scenario10,A
24,-2.507907769034907,Scenario10,A
25,-2.524314920032043,Scenario10,A
26,-2.540179793264902,Scenario10,A
27,-2.555299776877874,Scenario10,A
28,-2.5695505749758514,Scenario10,A
29,-2.583237909235293,Scenario10,A
30,-2.5963227637841557,Scenario10,A
31,-2.608733197525193,Scenario10,A
32,-2.620603299018528,Scenario10,A
33,-2.6317610696776024,Scenario10,A
34,-2.6423976454562474,Scenario10,A
35,-2.652400436952327,Scenario10,A
36,-2.6619023748798893,Scenario10,A
37,-2.6708341699471445,Scenario10,A
38,-2.679265746067027,Scenario10,A
39,-2.687184671092279,Scenario10,A
40,-2.6945177671037523,Scenario10,A
41,-2.701451908203167,Scenario10,A
42,-2.7079150522833504,Scenario10,A
43,-2.7138311633060708,Scenario10,A
44,-2.719200087315505,Scenario10,A
45,-2.7240320509873652,Scenario10,A
46,-2.7283205571582796,Scenario10,A
47,-2.7320264853949805,Scenario10,A
48,-2.732934081914769,Scenario10,A
0,-3.344135447235397,Scenario10,A
1,-3.334550214860536,Scenario10,A
2,-3.3757648161075986,Scenario10,A
3,-3.426533657111955,Scenario10,A
4,-3.477990902522239,Scenario10,A
5,-3.5502786471704955,Scenario10,A
6,-3.6310200302738806,Scenario10,A
7,-3.707602632308876,Scenario10,A
8,-3.7787921771885347,Scenario10,A
9,-3.845316635292529,Scenario10,A
10,-3.9068748422213764,Scenario10,A
11,-3.9639263114050167,Scenario10,A
12,-4.010501044078653,Scenario10,A
13,-4.034640975760775,Scenario10,A
14,-4.052158507521284,Scenario10,A
15,-4.065539666813383,Scenario10,A
16,-4.078177040171388,Scenario10,A
17,-4.090133712908206,Scenario10,A
18,-4.098679597398845,Scenario10,A
19,-4.0958347392436965,Scenario10,A
20,-4.091323896194654,Scenario10,A
21,-4.08722537345501,Scenario10,A
22,-4.083545203105279,Scenario10,A
23,-4.080298262471069,Scenario10,A
24,-4.077523276445511,Scenario10,A
25,-4.075222637517635,Scenario10,A
26,-4.073394871511275,Scenario10,A
27,-4.072039078071887,Scenario10,A
28,-4.071155120279436,Scenario10,A
29,-4.070739944869596,Scenario10,A
30,-4.070786787267622,Scenario10,A
31,-4.071280387616502,Scenario10,A
32,-4.072172290865826,Scenario10,A
33,-4.073169411795592,Scenario10,A
34,-4.041159268070816,Scenario10,A
0,-3.1994145606402533,Scenario10,A
1,-3.280152371679205,Scenario10,A
2,-3.3554607757541404,Scenario10,A
3,-3.377795347695314,Scenario10,A
4,-3.3680352784460172,Scenario10,A
5,-3.3436672152717173,Scenario10,A
6,-3.318631518499209,Scenario10,A
7,-3.293992704275897,Scenario10,A
8,-3.2697589720994262,Scenario10,A
9,-3.245938455687041,Scenario10,A
10,-3.222539536638509,Scenario10,A
11,-3.1995715261877105,Scenario10,A
12,-3.1770432999928677,Scenario10,A
13,-3.1549640512589328,Scenario10,A
14,-3.133343906488247,Scenario10,A
15,-3.1121925312753227,Scenario10,A
16,-3.0915204824046314,Scenario10,A
17,-3.071338462157434,Scenario10,A
18,-3.0516577577118658,Scenario10,A
19,-3.0324901241828033,Scenario10,A
20,-3.0138477654551923,Scenario10,A
21,-2.995743286859434,Scenario10,A
22,-2.978189789627621,Scenario10,A
23,-2.9612005817578106,Scenario10,A
24,-2.9447900694104594,Scenario10,A
25,-2.928972248287206,Scenario10,A
26,-2.9137621440116863,Scenario10,A
27,-2.899175523149426,Scenario10,A
28,-2.885228714787825,Scenario10,A
29,-2.871938867319155,Scenario10,A
30,-2.8593231578873812,Scenario10,A
31,-2.853048082067655,Scenario10,A
32,-2.8745383876109556,Scenario10,A
33,-2.8972758796191553,Scenario10,A
34,-2.91797293286825,Scenario10,A
35,-2.9367473390629613,Scenario10,A
36,-2.9537046149411514,Scenario10,A
37,-2.968899230293954,Scenario10,A
38,-2.9817414410470846,Scenario10,A
39,-2.9881807030363223,Scenario10,A
40,-2.993685772815523,Scenario10,A
41,-2.9988381905575454,Scenario10,A
42,-3.003572906518819,Scenario10,A
43,-3.007745119077919,Scenario10,A
44,-3.0111019267406287,Scenario10,A
45,-2.986358945334328,Scenario10,A
0,-3.9033370301383656,Scenario10,A
1,-3.894889584569772,Scenario10,A
2,-3.8867284239405047,Scenario10,A
3,-3.8788552859011176,Scenario10,A
4,-3.871272335828058,Scenario10,A
5,-3.863980926647207,Scenario10,A
6,-3.8569821649159763,Scenario10,A
7,-3.850276525870864,Scenario10,A
8,-3.843863862524466,Scenario10,A
9,-3.8377446836273874,Scenario10,A
10,-3.8319203966620394,Scenario10,A
11,-3.8263912392667425,Scenario10,A
12,-3.821156095919781,Scenario10,A
13,-3.816213949116473,Scenario10,A
14,-3.8115642963493315,Scenario10,A
15,-3.80720682966197,Scenario10,A
16,-3.8031411062013682,Scenario10,A
17,-3.799362473806248,Scenario10,A
18,-3.795861523852002,Scenario10,A
19,-3.7926198155509687,Scenario10,A
20,-3.7896069183581216,Scenario10,A
21,-3.786779997228508,Scenario10,A
22,-3.7840683680107023,Scenario10,A
23,-3.7813417218694916,Scenario10,A
24,-3.7783479244230196,Scenario10,A
25,-3.7745385397217777,Scenario10,A
26,-3.7684932740115715,Scenario10,A
27,-3.7554152019740092,Scenario10,A
28,-3.7132661740948754,Scenario10,A
0,-3.102447757776922,Scenario10,A
1,-3.1138842819815222,Scenario10,A
2,-3.123444784368444,Scenario10,A
3,-3.1328528774314863,Scenario10,A
4,-3.142025931001718,Scenario10,A
5,-3.1498050328350202,Scenario10,A
6,-3.1582947224077125,Scenario10,A
7,-3.1668494258128144,Scenario10,A
8,-3.175103556547133,Scenario10,A
9,-3.183131319989564,Scenario10,A
10,-3.190999410509601,Scenario10,A
11,-3.196703653606634,Scenario10,A
12,-3.2033900852230164,Scenario10,A
13,-3.2104806747540984,Scenario10,A
14,-3.217414714652895,Scenario10,A
15,-3.224786233327436,Scenario10,A
16,-3.231344327544192,Scenario10,A
17,-3.2377917551680793,Scenario10,A
18,-3.2438300809118963,Scenario10,A
19,-3.249711314161513,Scenario10,A
20,-3.255218318192485,Scenario10,A
21,-3.260779869377605,Scenario10,A
22,-3.2661833067498978,Scenario10,A
23,-3.2712727132643704,Scenario10,A
24,-3.276315499846554,Scenario10,A
25,-3.2809919874174773,Scenario10,A
26,-3.285858149563965,Scenario10,A
27,-3.290611829955658,Scenario10,A
28,-3.2952628980125462,Scenario10,A
29,-3.299653552675489,Scenario10,A
30,-3.303842444337014,Scenario10,A
31,-3.3079993618616483,Scenario10,A
32,-3.3117782709151635,Scenario10,A
33,-3.315374949062274,Scenario10,A
34,-3.31883637716152,Scenario10,A
35,-3.322093484397425,Scenario10,A
36,-3.325194431502299,Scenario10,A
37,-3.3281168049139227,Scenario10,A
38,-3.330901391692736,Scenario10,A
39,-3.3335385947118805,Scenario10,A
40,-3.336028384945402,Scenario10,A
41,-3.338118000669347,Scenario10,A
0,-2.36174985933983,Scenario10,A
1,-2.4266129691833918,Scenario10,A
2,-2.48815039313184,Scenario10,A
3,-2.5415136352379486,Scenario10,A
4,-2.5766783612783026,Scenario10,A
5,-2.6053270081415354,Scenario10,A
6,-2.632338979160595,Scenario10,A
7,-2.6559955333126233,Scenario10,A
8,-2.6742981660285325,Scenario10,A
9,-2.6791904945720884,Scenario10,A
10,-2.664738413563049,Scenario10,A
11,-2.6481713810214504,Scenario10,A
12,-2.623410687254754,Scenario10,A
13,-2.5925016412020683,Scenario10,A
14,-2.562690040510609,Scenario10,A
15,-2.5339618668735766,Scenario10,A
16,-2.506303789966543,Scenario10,A
17,-2.4797018185425403,Scenario10,A
18,-2.4541412098488613,Scenario10,A
19,-2.4296077883748084,Scenario10,A
20,-2.406086136577461,Scenario10,A
21,-2.383561627760761,Scenario10,A
22,-2.362018708418281,Scenario10,A
23,-2.3414421500645908,Scenario10,A
