l_x,l_y,l_h,l_vx,l_vy,l_ax,L_ay,s_x,s_y,s_h,s_vx,s_vy,s_ax,s_ay,d_x,d_y,distance,l_dp,Dv,s_dp
-24.640081,14.326917,0.009412,5.999729999999985,0.05651999999999546,0.0,0.0,43.760234999999994,18.552842000000002,9.430171600000001,-7.283529999999985,-0.039450000000016416,0.0,0.0,-68.40031599999999,-4.225925000000002,68.53073522884078,-20.280081,-1.2837999999999994,10.300234999999994
-24.040108,14.332569,0.009429,5.999729999999985,0.05651999999999546,0.0,0.0,43.031881999999996,18.548897,9.430202600000001,-7.283529999999985,-0.039450000000016416,0.0,0.0,-67.07199,-4.216328000000001,67.20438426444872,-19.680108,-1.2837999999999994,9.571881999999995
-23.440135,14.338232,0.009449,5.999729999999985,0.05663000000000196,0.0,0.001100000000064938,42.29932099999999,18.544911,9.430226600000001,-7.32561000000004,-0.03986000000001155,-0.42080000000055406,-0.004099999999951365,-65.73945599999999,-4.206678999999999,65.87391155370217,-19.080135000000002,-1.3258800000000548,8.839320999999991
-22.840162,14.343909,0.009475,5.999730000000021,0.05677000000000376,3.552713678800501e-13,0.0014000000000180535,41.56335899999999,18.540886,9.430257600000001,-7.359620000000007,-0.04024999999998613,-0.34009999999966567,-0.0038999999997457735,-64.40352099999998,-4.196977,64.54012808428543,-18.480162,-1.3598899999999858,8.10335899999999
-22.24019,14.349603,0.009505,5.999720000000011,0.05694000000000088,-0.00010000000010279564,0.001699999999971169,40.83041099999997,18.536841000000003,9.4303256,-7.329480000000217,-0.04044999999997856,0.3013999999978978,-0.0019999999999242846,-63.07060099999997,-4.1872380000000025,63.209442906656285,-17.88019,-1.3297600000002063,7.370410999999969
-21.440226,14.357225,0.009552,7.999639999999992,0.07621999999999574,19.999199999999817,0.19279999999994857,40.103530999999975,18.532735000000002,9.430489600000001,-7.268799999999942,-0.04106000000000165,0.6068000000027496,-0.006100000000230921,-61.54375699999997,-4.175510000000003,61.6852406126064,-17.080226,0.7308400000000503,6.6435309999999745
-20.840254,14.362968,0.009593,5.999719999999975,0.0574300000000072,-19.999200000000172,-0.18789999999988538,39.38267799999997,18.528497,9.4307456,-7.208530000000053,-0.04238000000000852,0.6026999999988902,-0.013200000000068712,-60.22293199999997,-4.165529000000001,60.366821769300245,-16.480254000000002,-1.2088100000000779,5.922677999999969
-20.240282,14.368737,0.009638,5.999720000000011,0.05768999999999025,3.552713678800501e-13,0.0025999999998305157,38.667704999999984,18.524136000000002,9.4309246,-7.149729999999863,-0.04360999999999393,0.5880000000018981,-0.012299999999854094,-58.907986999999984,-4.155399000000003,59.05436709711965,-15.880282000000001,-1.1500099999998525,5.207704999999983
-19.640311,14.374535,0.009688,5.99971,0.05798000000000414,-0.00010000000010279564,0.0029000000001389026,37.958466999999985,18.519774,9.4309106,-7.0923799999999915,-0.04362000000000421,0.5734999999987167,-0.00010000000010279564,-57.59877799999998,-4.145239000000002,57.747746566081716,-15.280311000000001,-1.0926699999999911,4.498466999999984
-19.040339,14.380364,0.009743,5.999720000000011,0.05829000000000306,0.00010000000010279564,0.0030999999999892225,37.25119599999999,18.515478,9.430822599999999,-7.0727099999999155,-0.042960000000000775,0.19670000000076016,0.006600000000034356,-56.291534999999996,-4.1351140000000015,56.443211110364906,-14.680339,-1.0729899999999049,3.7911959999999922
-18.240378,14.388189,0.009823,7.999609999999997,0.07825000000000415,19.998899999999864,0.19960000000001088,36.53674099999998,18.511188,9.4307666,-7.144550000000152,-0.04290000000001015,-0.7184000000023616,0.0005999999999062311,-54.77711899999998,-4.122999,54.93206610618392,-13.880378,0.8550599999998454,3.076740999999977
-17.640408,14.394102,0.009888,5.99969999999999,0.05912999999999613,-19.99910000000007,-0.1912000000000802,35.81305099999997,18.506869000000002,9.4307386,-7.236900000000048,-0.043189999999988515,-0.9234999999989668,-0.002899999999783631,-53.453458999999974,-4.112767000000002,53.61144589974204,-13.280408000000001,-1.2372000000000583,2.3530509999999722
-17.040437,14.400056,0.009958,5.99971,0.05953999999999127,0.00010000000010279564,0.004099999999951365,35.08785599999999,18.502537,9.4307736,-7.251949999999852,-0.04332000000001557,-0.15049999999803276,-0.0013000000002705292,-52.128292999999985,-4.102481000000001,52.28947581922397,-12.680437000000001,-1.2522399999998512,1.627855999999987
-16.440468,14.406053,0.010033,5.999690000000015,0.05997000000000696,-0.0001999999998503199,0.004300000000156956,34.368232999999975,18.498108000000002,9.4310466,-7.196230000000128,-0.0442899999999824,0.5571999999972377,-0.009699999999668307,-50.80870099999997,-4.092055000000002,50.973218570445624,-12.080468,-1.1965400000001125,0.9082329999999743
-15.840498,14.412096,0.010112,5.99969999999999,0.060430000000000206,9.999999974752427e-05,0.004599999999932436,33.65446099999997,18.493428,9.4314736,-7.1377200000000585,-0.046800000000004616,0.5851000000006934,-0.025100000000222167,-49.494958999999966,-4.0813320000000015,49.66294632123533,-11.480498,-1.1380200000000684,0.19446099999996846
-15.04054,14.42023,0.010225,7.999580000000002,0.08134000000000086,19.998800000000116,0.2091000000000065,32.93950699999999,18.488504,9.4317326,-7.149539999999774,-0.04924000000002593,-0.11819999999715947,-0.02440000000021314,-47.98004699999999,-4.068273999999999,48.152214522919756,-10.68054,0.8500400000002273,-0.520493000000009
-14.440572,14.426392,0.010315,5.999680000000005,0.06161999999999779,-19.998999999999967,-0.19720000000003068,32.210350999999974,18.483378000000002,9.431847600000001,-7.291560000000175,-0.05125999999997077,-1.4202000000040016,-0.020199999999448437,-46.65092299999998,-4.056986000000002,46.82699811173168,-10.080572,-1.2918800000001696,-1.2496490000000264
-13.840604,14.432609,0.01041,5.999679999999987,0.06216999999999473,-1.7763568394002505e-13,0.005499999999969418,31.461843999999985,18.478008000000003,9.4320016,-7.485069999999894,-0.05369999999999209,-1.9350999999971918,-0.02440000000021314,-45.302447999999984,-4.045399000000003,45.48271152714956,-9.480604,-1.4853899999999065,-1.9981560000000158
-13.240637,14.438884,0.010509,5.9996700000000125,0.06275000000000475,-9.999999974752427e-05,0.0058000000001001695,30.69217199999997,18.472453,9.431944600000001,-7.696720000000141,-0.05555000000001087,-2.1165000000024747,-0.01850000000018781,-43.93280899999997,-4.033569000000002,44.11758589846275,-8.880637,-1.6970500000001287,-2.76782800000003
-12.64067,14.44522,0.010613,5.999669999999995,0.06336000000001007,-1.7763568394002505e-13,0.006100000000053285,29.899751999999978,18.467078,9.431287600000001,-7.924199999999928,-0.05375000000000796,-2.2747999999978674,0.018000000000029104,-42.54042199999998,-4.021858,42.73011637838407,-8.28067,-1.9245299999999332,-3.5602480000000227
-12.040704,14.45162,0.010721,5.999660000000002,0.06399999999999295,-9.999999992515995e-05,0.006399999999828765,29.083541999999994,18.462467,9.4299426,-8.162099999999839,-0.04611000000000587,-2.3789999999991096,0.0764000000000209,-41.12424599999999,-4.010847,41.31937200304385,-7.6807039999999995,-2.1624399999998367,-4.376458000000007
-11.440739,14.458086,0.010834,5.999649999999992,0.06465999999999639,-0.00010000000010279564,0.006600000000034356,28.238800999999995,18.459009000000002,9.4283336,-8.44740999999999,-0.03457999999998407,-2.8531000000015183,0.115300000000218,-39.679539999999996,-4.000923000000002,39.880738201085606,-7.080739,-2.447759999999999,-5.221199000000006
-10.840774,14.464622,0.010952,5.99965000000001,0.06536000000000541,1.7763568394002505e-13,0.007000000000090267,27.363743999999997,18.456891000000002,9.4266126,-8.750569999999982,-0.02117999999999398,-3.031599999999912,0.13399999999990087,-38.20451799999999,-3.992269000000002,38.41254231863187,-6.480773999999999,-2.7509199999999723,-6.096256000000004
-10.24081,14.47123,0.011074,5.999639999999999,0.06607999999999947,-0.00010000000010279564,0.007199999999940587,26.460312999999985,18.456441,9.4245696,-9.034310000000119,-0.004500000000007276,-2.8374000000013666,0.16679999999986705,-36.70112299999998,-3.9852110000000014,36.91685707337027,-5.880809999999999,-3.034670000000119,-6.999687000000016
-9.641545,14.477904,0.011266,5.9926499999999905,0.06674000000000291,-0.06990000000008934,0.006600000000034356,25.53782099999998,18.458121000000002,9.4221126,-9.224920000000054,0.01680000000000348,-1.9060999999993555,0.21300000000010755,-35.17936599999998,-3.9802170000000014,35.40381221745822,-5.281545,-3.2322700000000637,-7.922179000000021
-9.047432,14.484597,0.011397,5.941130000000001,0.06693000000000282,-0.5151999999998935,0.0018999999999991246,24.597829999999988,18.462336,9.419374600000001,-9.39990999999992,0.042149999999985255,-1.7498999999986609,0.25349999999981776,-33.64526199999999,-3.9777389999999997,33.87958179495084,-4.687432,-3.458779999999919,-8.862170000000013
-8.467211,14.49121,0.011528,5.802209999999999,0.06612999999999758,-1.3892000000000237,-0.00800000000005241,23.639785999999987,18.469264000000003,9.4166576,-9.58044000000001,0.06928000000002044,-1.8053000000008979,0.2713000000003518,-32.106996999999986,-3.978054000000002,32.352498666794254,-4.107211,-3.7782300000000113,-9.820214000000014
-7.907675,14.49766,0.011658,5.595360000000005,0.06449999999999179,-2.06849999999994,-0.016300000000057935,22.662787999999978,18.478786,9.4142766,-9.76998000000009,0.09521999999996922,-1.895400000000791,0.2593999999994878,-30.57046299999998,-3.9811259999999997,30.828599907589766,-3.547675,-4.174620000000084,-10.797212000000023
-7.372516,14.503898,0.011786,5.351590000000002,0.06237999999999744,-2.4377000000000315,-0.021199999999943486,21.673868999999996,18.490469,9.4123466,-9.889189999999815,0.11683000000001442,-1.1920999999972537,0.21610000000045204,-29.046384999999997,-3.9865710000000014,29.31868397295939,-3.0125159999999997,-4.537599999999813,-11.786131000000005
-6.862686,14.509907,0.011911,5.0983,0.06009000000000597,-2.5329000000000157,-0.022899999999914655,20.678046999999992,18.504002,9.4106186,-9.95822000000004,0.13532999999998907,-0.690300000002253,0.18499999999974648,-27.540732999999992,-3.9940949999999997,27.82884778510087,-2.5026859999999997,-4.85992000000004,-12.781953000000009
-6.376566,14.515697,0.012033,4.861199999999997,0.05789999999999296,-2.371000000000034,-0.02190000000013015,19.67814199999998,18.519245,9.4090226,-9.999050000000125,0.15243000000001672,-0.40830000000084965,0.1710000000002765,-26.05470799999998,-4.003548000000002,26.360504652862147,-2.016566,-5.137850000000128,-13.781858000000021
-5.910992,14.521299,0.012153,4.6557400000000015,0.05602000000001439,-2.054599999999951,-0.018799999999785655,18.675628999999986,18.535844,9.407886600000001,-10.025129999999933,0.16598999999999364,-0.2607999999980848,0.13559999999976924,-24.586620999999987,-4.014545,24.912215954319787,-1.550992,-5.369389999999932,-14.784371000000014
-5.463121,14.526742,0.012272,4.478710000000001,0.054429999999996426,-1.7703000000000024,-0.01590000000017966,17.671446999999972,18.553305,9.4071576,-10.041820000000143,0.17461000000000837,-0.16690000000210148,0.08620000000014727,-23.134567999999973,-4.026563000000001,23.482364577265038,-1.1031209999999998,-5.563110000000142,-15.788553000000029
-5.030658,14.532049,0.01239,4.324630000000003,0.05307000000000173,-1.5407999999999866,-0.013599999999946988,16.665764999999993,18.571616000000002,9.4062286,-10.056819999999789,0.18311000000000632,-0.14999999999645297,0.08499999999997954,-21.696422999999992,-4.039567000000002,22.06927439999824,-0.6706579999999995,-5.732189999999786,-16.794235000000008
-4.611708,14.537249,0.013356,4.189499999999997,0.05199999999998539,-1.3513000000000552,-0.010700000000163357,15.658585999999985,18.591197,9.404862600000001,-10.071790000000078,0.19580999999998738,-0.14970000000289474,0.1269999999998106,-20.270293999999986,-4.053948000000002,20.671703201070283,-0.2517079999999998,-5.882290000000081,-17.801414000000015
