l_x,l_y,l_h,l_vx,l_vy,l_ax,L_ay,s_x,s_y,s_h,s_vx,s_vy,s_ax,s_ay,d_x,d_y,distance,l_dp,Dv,s_dp
-24.506753,14.328172,0.009415,3.999820000000014,0.037679999999991054,0.0,0.0,64.45700799999997,18.545921,9.424838600000001,-7.696799999999939,-0.000819999999990273,0.0,0.0,-88.96376099999998,-4.2177489999999995,89.06368607851417,-20.146753,-3.6969799999999253,30.997007999999973
-24.106771,14.33194,0.009426,3.999820000000014,0.037679999999991054,0.0,0.0,63.68732799999998,18.545839,9.424907600000001,-7.696799999999939,-0.000819999999990273,0.0,0.0,-87.79409899999997,-4.213899000000001,87.89516917330552,-19.746771,-3.6969799999999253,30.22732799999998
-23.70679,14.335713,0.009439,3.999809999999968,0.037730000000006925,-0.000100000000458067,0.0005000000001587068,62.917351999999994,18.545701,9.424983600000001,-7.699759999999856,-0.0013799999999974943,-0.02959999999916363,-0.005600000000072214,-86.62414199999999,-4.209988000000001,86.72638569775813,-19.346790000000002,-3.6999499999998875,29.457351999999993
-23.306808,14.339492,0.009454,3.999820000000014,0.03778999999999755,0.000100000000458067,0.0005999999999062311,62.14688199999998,18.545502,9.4250606,-7.704700000000173,-0.0019900000000205864,-0.04940000000317468,-0.006100000000230921,-85.45368999999998,-4.206009999999999,85.55713678435129,-18.946808,-3.704880000000159,28.686881999999976
-22.906826,14.343277,0.009471,3.999820000000014,0.037850000000005934,0.0,0.0006000000000838668,61.375763999999975,18.545244,9.4251386,-7.711180000000013,-0.0025799999999875922,-0.06479999999839947,-0.005899999999670058,-84.28258999999997,-4.201967,84.38727098192703,-18.546826,-3.711359999999999,27.915763999999974
-22.373517,14.348335,0.009497,5.3330899999999914,0.05058000000000007,13.332699999999775,0.12729999999994135,60.60361399999999,18.544925,9.425218600000001,-7.721499999999821,-0.0031900000000106843,-0.1031999999980826,-0.006100000000230921,-82.97713099999999,-4.196589999999999,83.0831850413744,-18.013517,-2.38840999999983,27.143613999999992
-21.973535,14.352138,0.009519,3.999820000000014,0.03802999999999557,-13.332699999999775,-0.12550000000004502,59.830276999999995,18.544541000000002,9.4253036,-7.733369999999979,-0.003839999999968313,-0.11870000000158143,-0.006499999999576289,-81.803812,-4.192403000000002,81.91117079279084,-17.613535,-3.7335499999999655,26.370276999999994
-21.573554,14.355951,0.009543,3.999809999999968,0.03812999999999178,-0.000100000000458067,0.0009999999999621423,59.055735999999996,18.544089,9.4253926,-7.745409999999993,-0.004520000000027835,-0.12040000000013151,-0.006800000000595219,-80.62929,-4.188138,80.73798923562033,-17.213554000000002,-3.7456000000000245,25.595735999999995
-21.173572,14.359773,0.009569,3.999820000000014,0.03822000000001324,0.000100000000458067,0.000900000000214618,58.27995499999997,18.543556000000002,9.4255046,-7.757810000000234,-0.005329999999972301,-0.12400000000241107,-0.008099999999444663,-79.45352699999998,-4.183783000000002,79.56360344360237,-16.813572,-3.7579900000002198,24.819954999999972
-20.773591,14.363606,0.009597,3.9998100000000036,0.038330000000001974,-0.00010000000010279564,0.0010999999998873022,57.50288899999998,18.542905,9.4256756,-7.770659999999907,-0.006510000000012894,-0.128499999996734,-0.01180000000040593,-78.27647999999998,-4.179299,78.38797013140343,-16.413591,-3.7708499999999034,24.04288899999998
-20.240282,14.368735,0.009638,5.3330899999999914,0.05128999999998385,13.332799999999878,0.12959999999981875,56.72458099999997,18.542107,9.4258676,-7.783080000000098,-0.007979999999996323,-0.12420000000190612,-0.01469999999983429,-76.96486299999998,-4.173372000000002,77.07792920453396,-15.880282000000001,-2.4499900000001062,23.26458099999997
-19.840301,14.372597,0.009671,3.9998100000000036,0.038620000000015864,-13.332799999999878,-0.12669999999967985,55.945051999999976,18.541151,9.4260746,-7.795289999999966,-0.009560000000021773,-0.1220999999986816,-0.0158000000002545,-75.78535299999997,-4.1685539999999985,75.89991154003752,-15.480301,-3.795479999999962,22.485051999999975
-19.44032,14.376472,0.009706,3.9998100000000036,0.038749999999989626,0.0,0.0012999999997376221,55.16432599999999,18.540024000000003,9.4262956,-7.8072599999998715,-0.011269999999967695,-0.11969999999905667,-0.017099999999459214,-74.60464599999999,-4.163552000000003,74.72073587727853,-15.08032,-3.807449999999868,21.704325999999988
-19.040339,14.380362,0.009743,3.9998100000000036,0.03890000000000171,0.0,0.0015000000001208491,54.38239399999998,18.538722,9.4265156,-7.819320000000118,-0.013020000000025789,-0.12060000000246873,-0.01750000000058094,-73.42273299999998,-4.15836,73.5403948798134,-14.680339,-3.8195100000001148,20.922393999999976
