l_x,l_y,l_h,l_vx,l_vy,l_ax,L_ay,s_x,s_y,s_h,s_vx,s_vy,s_ax,s_ay,d_x,d_y,distance,l_dp,Dv,s_dp
-24.44009,14.328799,0.009417,5.999730000000021,0.056549999999990774,0.0,0.0,53.504932,18.096194,9.423753600000001,-8.39790000000022,0.010790000000007183,0.0,0.0,-77.945022,-3.7673950000000005,78.03601552915492,-20.080090000000002,-2.3981700000001993,20.044931999999996
-23.840117,14.334454,0.009435,5.999730000000021,0.056549999999990774,0.0,0.0,52.665141999999975,18.097273,9.4233566,-8.39790000000022,0.010790000000007183,0.0,0.0,-76.50525899999997,-3.762819000000002,76.59773796584228,-19.480117,-2.3981700000001993,19.205141999999974
-23.240144,14.340121,0.009457,5.999729999999985,0.05667000000000755,-3.552713678800501e-13,0.0012000000001677336,51.81002999999998,18.098752,9.4228876,-8.551119999999912,0.01478999999999786,-1.5321999999969194,0.03999999999990678,-75.05017399999998,-3.758631000000001,75.14423413958275,-18.880144,-2.5513899999999268,18.350029999999983
-22.640171,14.345803,0.009484,5.999730000000021,0.05682000000000187,3.552713678800501e-13,0.0014999999999432134,50.939561999999995,18.100702000000002,9.4223576,-8.704679999999883,0.019500000000007844,-1.5355999999997039,0.04710000000009984,-73.57973299999999,-3.7548990000000018,73.67548014673191,-18.280171,-2.7049499999998616,17.479561999999994
-22.040199,14.351503,0.009515,5.999719999999975,0.0569999999999915,-0.000100000000458067,0.001799999999896329,50.053653999999995,18.103175,9.4218026,-8.859080000000006,0.02472999999998393,-1.5440000000012333,0.05229999999976087,-72.093853,-3.751672000000001,72.19140311132062,-17.680199,-2.8593600000000308,16.593653999999994
-21.240236,14.359134,0.009565,7.999630000000018,0.07630999999999943,19.999100000000425,0.19310000000007932,49.15218899999999,18.10619,9.4212486,-9.014650000000017,0.030150000000013222,-1.5557000000001153,0.0542000000002929,-70.39242499999999,-3.7470560000000024,70.49208413749561,-16.880236,-1.0150199999999998,15.692188999999992
-20.640264,14.364885,0.009607,5.999720000000011,0.057510000000000616,-19.99910000000007,-0.18799999999998818,48.23518899999999,18.109771000000002,9.420685599999999,-9.170000000000016,0.035810000000005004,-1.5534999999999854,0.05659999999991783,-68.875453,-3.744886000000003,68.97718606255408,-16.280264,-3.1702800000000053,14.77518899999999
-20.040292,14.370663,0.009654,5.999719999999975,0.05778000000001171,-3.552713678800501e-13,0.002700000000110947,47.302595,18.113953000000002,9.4200986,-9.325939999999946,0.0418200000000013,-1.5593999999993002,0.06009999999996296,-67.34288699999999,-3.743290000000002,67.44684313975613,-15.680292000000001,-3.326219999999971,13.842594999999996
-19.44032,14.37647,0.009705,5.999720000000011,0.058069999999990074,3.552713678800501e-13,0.002899999999783631,46.354310999999996,18.118762,9.419509600000001,-9.48284000000001,0.04808999999998065,-1.569000000000642,0.06269999999979348,-65.794631,-3.742292000000001,65.90097281405961,-15.08032,-3.4831199999999995,12.894310999999995
-18.840349,14.38231,0.009762,5.99971,0.058400000000009555,-0.00010000000010279564,0.0033000000001948138,45.39027899999999,18.124227,9.4189056,-9.640320000000031,0.05465000000000941,-1.5748000000002094,0.06560000000028765,-64.230628,-3.741917000000001,64.33953307344771,-14.480349,-3.6406100000000308,11.930278999999992
-18.040388,14.390152,0.009844,7.999609999999997,0.07842000000000127,19.998999999999967,0.2001999999999171,44.41110699999999,18.130379,9.4182936,-9.791720000000055,0.06152000000000157,-1.5140000000002374,0.0686999999999216,-62.45149499999999,-3.740227000000001,62.56339605349563,-13.680388,-1.7921100000000578,10.951106999999986
