l_x,l_y,l_h,l_vx,l_vy,l_ax,L_ay,s_x,s_y,s_h,s_vx,s_vy,s_ax,s_ay,d_x,d_y,distance,l_dp,Dv,s_dp
-9.442256,14.480141,0.01131,5.903580000000002,0.0667600000000057,0.0,0.0,23.322294999999997,18.713530000000002,9.4216856,-8.858120000000156,0.02242999999999995,0.0,0.0,-32.764551,-4.2333890000000025,33.03690942955957,-5.082256,-2.9545400000001543,-10.137705000000004
-8.851898,14.486817,0.011441,5.903580000000002,0.0667600000000057,0.0,0.0,22.43648299999998,18.715773000000002,9.422543600000001,-8.858120000000156,0.02242999999999995,0.0,0.0,-31.28838099999998,-4.228956000000002,31.572881630460905,-4.491898,-2.9545400000001543,-11.02351700000002
-8.278059,14.493382,0.011572,5.738389999999995,0.06565000000000154,-1.6519000000000617,-0.011100000000041632,21.54744599999998,18.717243,9.4233966,-8.890370000000019,0.014699999999976399,-0.32249999999862666,-0.07730000000023551,-29.82550499999998,-4.223860999999999,30.12310990340049,-3.9180590000000004,-3.151980000000023,-11.912554000000021
-7.726444,14.499765,0.011701,5.5161500000000085,0.06382999999999583,-2.222399999999869,-0.01820000000005706,20.655185999999986,18.718042,9.4241156,-8.922599999999932,0.007990000000006603,-0.3222999999991316,-0.06709999999969796,-28.381629999999987,-4.2182770000000005,28.69339265938464,-3.3664439999999995,-3.406449999999923,-12.804814000000015
-7.199819,14.505927,0.011828,5.266250000000001,0.06161999999999779,-2.4990000000000734,-0.02209999999998047,19.759686999999985,18.718224,9.4248046,-8.95499000000001,0.0018199999999879424,-0.32390000000077634,-0.061700000000186606,-26.959505999999983,-4.2122969999999995,27.286597621914026,-2.8398189999999994,-3.688740000000008,-13.700313000000016
-6.69825,14.511859,0.011952,5.015689999999999,0.05931999999999604,-2.505600000000019,-0.02300000000001745,18.860952999999995,18.717781000000002,9.4255046,-8.987339999999904,-0.004429999999970846,-0.3234999999989441,-0.062499999999587885,-25.559202999999997,-4.205922000000003,25.902946509331578,-2.3382499999999995,-3.9716499999999044,-14.599047000000006
-6.219317,14.517582,0.012073,4.789329999999996,0.05723000000001477,-2.2636000000000323,-0.020899999999812735,17.958947999999992,18.716695,9.4262226,-9.020050000000026,-0.010860000000008085,-0.32710000000122363,-0.06430000000037239,-24.178264999999993,-4.1991130000000005,24.540192509371103,-1.8593169999999999,-4.23072000000003,-15.501052000000008
-5.759915,14.523129,0.012193,4.594019999999999,0.055469999999999686,-1.9530999999999743,-0.01760000000015083,17.053635999999983,18.714934,9.4269766,-9.053120000000092,-0.017610000000019,-0.330700000000661,-0.06750000000010914,-22.813550999999983,-4.191804999999999,23.1954594347175,-1.399915,-4.4591000000000935,-16.406364000000018
-5.317402,14.528524,0.012311,4.425129999999999,0.05395000000000039,-1.6888999999999932,-0.015199999999992997,16.14497099999997,18.712462000000002,9.427762600000001,-9.086650000000134,-0.024719999999973652,-0.3353000000004158,-0.07109999999954653,-21.46237299999997,-4.183938000000001,21.86638497737959,-0.9574020000000001,-4.6615200000001344,-17.31502900000003
-4.889633,14.53379,0.012429,4.277690000000005,0.05265999999998883,-1.4743999999999424,-0.012900000000115597,15.233100999999976,18.709247,9.4285766,-9.118699999999933,-0.03215000000000856,-0.32049999999799184,-0.07430000000034909,-20.122733999999976,-4.1754570000000015,20.55137136041301,-0.5296329999999996,-4.841009999999928,-18.226899000000024
