l_x,l_y,l_h,l_vx,l_vy,l_ax,l_ay,s_x,s_y,s_h,s_vx,s_vy,s_ax,s_ay,d_x,d_y,distance
11.3937415464017,37.8894108505903,-1.55683369277894,0.0466637234084145,-3.3551452400389,,,15.7133799781577,-0.342075739180536,1.58477891793619,-0.0835658886503886,5.97839085005511,,,-4.319638431756001,38.23148658977084,38.47474292370166
11.4022954245611,37.5650105712486,-1.5568152364038,0.05103714623532,-3.65576419427919,0.004373422826905497,-0.30061895424028995,15.7032095993419,0.242166665755196,1.58476648479435,-0.0830984886658979,5.95169184856514,0.00046739998449069065,-0.02669900148996973,-4.3009141747808,37.3228439054934,37.56983550579715
11.410940716101,37.1992709010612,-1.55681491833633,0.0553046291653797,-3.95030225595881,0.004267482930059699,-0.2945380616796198,15.6947628491623,0.823479668366842,1.58475347349498,-0.0825164199874664,5.91625722222123,0.0005820686784315104,-0.03543462634391048,-4.2838221330612996,36.375791232694354,36.62716641882456
11.4209594588507,36.7903036488747,-1.55681455321303,0.059313400264684,-4.22909885507483,0.004008771099304302,-0.27879659911602017,15.6878751607902,1.40300253144774,1.58474305968129,-0.0819032181228045,5.87775297368183,0.0006132018646618914,-0.03850424853939938,-4.266915701939501,35.38730111742696,35.64362004599007
11.4307753138206,36.3433723821744,-1.5568122086238,0.0628471416246381,-4.47732182425675,0.003533741359954101,-0.24822296918191977,15.6820961749707,1.98288527936052,1.58473663904432,-0.0813076110217996,5.83963632944049,0.0005956071010048969,-0.03811664424134076,-4.2513208611501,34.36048710281388,34.62248984413294
11.4415253053501,35.8666341508128,-1.55680971414773,0.0657083860795709,-4.68070846791998,0.0028612444549327987,-0.20338664366323034,15.6766570255691,2.56058945379409,1.58473157924666,-0.0807612378866775,5.80435456674509,0.0005463731351221107,-0.03528176269539962,-4.235131720219,33.30604469701871,33.57423050566332
11.4530064428104,35.3734131097577,-1.55680888939381,0.0678223923740634,-4.83316706090816,0.0021140062944925014,-0.15245859298817965,15.6718830105556,3.1361822441792,1.58472777276169,-0.0802847821239583,5.77362740011341,0.000476455762719194,-0.030727166631679736,-4.2188765677452,32.237230865578496,32.51212040723392
11.463702863841,34.8722277181868,-1.55681013407434,0.0692399155833048,-4.93719686800083,0.0014175232092414058,-0.10402980709266973,15.6674833848414,3.71008298073956,1.58472412017248,-0.079892835402944,5.74876538171515,0.00039194672101429406,-0.02486201839826041,-4.2037805210004,31.16214473744724,31.444411829550145
11.4739479720508,34.3678188271238,-1.55681436296378,0.0700612514079708,-4.99895371275819,0.0008213358246659946,-0.061756844757359985,15.6634542352905,4.28083006284795,1.58471898323965,-0.0796030177960413,5.73121074239518,0.0002898176069027064,-0.017554639319969922,-4.1895062632397,30.086988764275848,30.37727531612053
11.4831940027684,33.861803541951,-1.55681909745989,0.0703776372978108,-5.02416631547309,0.0003163858898399957,-0.0252126027149,15.6602157886723,4.84909288959999,1.58471292966684,-0.0794330987313688,5.72225917480188,0.00016991906467249407,-0.00895156759330007,-4.1770217859039,29.012710652351007,29.311855799265892
11.4916313168249,33.353480580837,-1.55682104599304,0.0702529481382637,-5.01695908001595,-0.00012468915954709503,0.007207235457139305,15.6574210982437,5.41705959159703,1.58470441405826,-0.0793946162671984,5.72258021918924,3.848246417040291e-05,0.0003210443873600255,-4.1657897814188,27.93642098923997,28.245307967714226
11.4999374405378,32.8478163732421,-1.55681885209253,0.0697447016215747,-4.98139363227858,-0.000508246516689001,0.035565447737369915,15.6560732132157,5.98570325865772,1.5846966794921,-0.0794916379995712,5.7321471243783,-9.70217323727901e-05,0.009566905189060115,-4.156135772677901,26.862113114584375,27.18173257063756
11.5090941896603,32.3489499356399,-1.55681574345305,0.0689183919776434,-4.9223070637643,-0.0008263096439312945,0.059086568514280735,15.6554615670255,6.55719031132383,1.58469076093776,-0.0797141939461212,5.74999079429024,-0.00022255594655000432,0.017843669911940196,-4.1463673773652,25.79175962431607,26.122925313727386
11.5185466676772,31.8598868562064,-1.55681383042573,0.067852964402089,-4.84538657430207,-0.0010654275755544035,0.07692048946222929,15.6554034427481,7.13369228220781,1.58468718544673,-0.0800406851271142,5.77439154752379,-0.00032649118099299657,0.024400753233550176,-4.1368567750709,24.72619457399859,25.06986801099454
11.5280626616264,31.3818881290557,-1.55681385673809,0.0666342209323492,-4.75660146674114,-0.001218743469739797,0.0887851075609305,15.6556349437309,7.71234652962196,1.58468549712757,-0.0804519431958341,5.80393113158044,-0.00041125806871990245,0.029539584056649915,-4.1275722821045004,23.66954159943374,24.026736200976647
11.5370258619303,30.9152237452244,-1.55681315623742,0.0653426413405635,-4.66136712567321,-0.0012915795917857048,0.09523434106792994,15.6559573258669,8.29500778318372,1.58468739326809,-0.080925805563882,5.83713830989807,-0.00047386236804790316,0.03320717831762998,-4.118931463936601,22.620215962040678,22.992167504912775
11.545974429288,30.4570317072337,-1.55681016594849,0.0640362424428099,-4.56344605184153,-0.0013063988977536078,0.0979210738316798,15.6557284206858,8.88178864280253,1.58469093184604,-0.0814417373355722,5.87280793836863,-0.0005159317716901951,0.035669628470559545,-4.109753991397801,21.57524306443117,21.963178075112342
11.556033790723,30.0050347912122,-1.55680761776522,0.0627513570357072,-4.46491136057208,-0.0012848854071026983,0.09853469126945047,15.6549240484386,9.47027520672885,1.58469425734676,-0.081989602874187,5.91047787488324,-0.0005478655386148001,0.037669936514610036,-4.098890257715601,20.53475958448335,20.93984843635041
