l_x,l_y,l_h,l_vx,l_vy,l_ax,L_ay,s_x,s_y,s_h,s_vx,s_vy,s_ax,s_ay,d_x,d_y,distance,l_dp,Dv,s_dp
-9.840834,14.475676,0.011159,5.978680000000001,0.06700999999999624,0.0,0.0,34.40503799999999,18.544664,9.432839600000001,-7.571800000000053,-0.0589300000000037,0.0,0.0,-44.24587199999999,-4.068988000000001,44.43257647700083,-5.480833999999999,-1.5931200000000523,0.9450379999999896
-9.242966,14.482377,0.011353,5.978680000000001,0.06700999999999624,0.0,0.0,33.647857999999985,18.538771,9.4323836,-7.571800000000053,-0.0589300000000037,0.0,0.0,-42.89082399999998,-4.056394000000001,43.08221344919746,-4.882965999999999,-1.5931200000000523,0.18785799999998432
-8.656364,14.489037,0.011485,5.866019999999992,0.0666000000000011,-1.1266000000000886,-0.004099999999951365,32.89526699999999,18.533378,9.431712600000001,-7.5259099999999535,-0.053930000000015355,0.4589000000009946,0.04999999999988347,-41.551630999999986,-4.044340999999999,41.74799076463969,-4.296364,-1.6598899999999617,-0.564733000000011
-8.088906,14.495555,0.011615,5.674580000000002,0.06517999999999802,-1.914399999999894,-0.014200000000030855,32.145437999999984,18.528524,9.4310226,-7.498290000000054,-0.048539999999981376,0.2761999999989939,0.05390000000033979,-40.234343999999986,-4.032969000000001,40.43596513087447,-3.7289059999999994,-1.8237100000000517,-1.3145620000000164
-7.545213,14.50187,0.011744,5.436929999999993,0.06315000000000737,-2.3765000000000924,-0.020299999999906504,31.397399999999976,18.524212000000002,9.430292600000001,-7.480380000000082,-0.04311999999998761,0.17909999999972115,0.05419999999993763,-38.94261299999998,-4.022342000000002,39.14979364482949,-3.185213,-2.043450000000089,-2.0626000000000246
-7.027121,14.507955,0.01187,5.180920000000002,0.06085000000000562,-2.5600999999999097,-0.02300000000001745,30.64993799999999,18.520508,9.429438600000001,-7.474619999999845,-0.03704000000002594,0.05760000000236687,0.060799999999616716,-37.67705899999999,-4.012552999999999,37.89012214901516,-2.667121,-2.293699999999843,-2.810062000000009
-6.533814,14.513811,0.011993,4.933070000000006,0.05855999999999639,-2.4784999999999613,-0.02290000000009229,29.90113999999997,18.517531,9.4283716,-7.487980000000221,-0.02976999999997787,-0.13360000000375294,0.07270000000048071,-36.43495399999997,-4.003720000000001,36.65427187682922,-2.1738139999999992,-2.5549100000002145,-3.558860000000031
-6.062068,14.519468,0.012114,4.7174599999999955,0.05656999999999357,-2.156100000000105,-0.01990000000002823,29.14821299999997,18.515597,9.426756600000001,-7.529269999999997,-0.019340000000021007,-0.4128999999977623,0.10429999999956863,-35.210280999999966,-3.996129,35.43632225674103,-1.7020679999999997,-2.8118100000000013,-4.311787000000031
-5.608839,14.524959,0.012233,4.532290000000003,0.05491000000001023,-1.8516999999999229,-0.016599999999833415,28.387954999999977,18.515343,9.424155599999999,-7.602579999999932,-0.002539999999982001,-0.7330999999993537,0.16800000000039006,-33.99679399999998,-3.9903840000000006,34.23017918074474,-1.2488389999999994,-3.070289999999929,-5.072045000000024
-5.171683,14.530307,0.01235,4.371559999999999,0.05347999999999686,-1.6073000000000448,-0.01430000000013365,27.616184999999973,18.517701000000002,9.4204146,-7.717700000000036,0.023580000000009704,-1.1512000000010403,0.26119999999991705,-32.787867999999975,-3.987394000000002,33.02943534026367,-0.8116829999999995,-3.3461400000000374,-5.843815000000028
-4.748608,14.535532,0.012469,4.230749999999999,0.05224999999999369,-1.408100000000001,-0.01230000000003173,26.82797099999999,18.523337,9.4162476,-7.882139999999822,0.05635999999999086,-1.6443999999978587,0.3277999999998116,-31.57657899999999,-3.9878050000000016,31.827392762544427,-0.3886079999999996,-3.6513899999998234,-6.63202900000001
-4.338067,14.540432,0.010853,4.105410000000003,0.04899999999999238,-1.25339999999996,-0.032500000000013074,26.02069899999998,18.532376,9.4122906,-8.072720000000118,0.09038999999997799,-1.9058000000029551,0.34029999999987126,-30.358765999999978,-3.991944,30.620096177868067,0.021933000000000646,-3.967310000000115,-7.439301000000022
